English,Dutch
Artificial intelligence resource directory,Bronnengids kunstmatige intelligentie
Home,Startpagina
Search resources,Zoek middelen
Contribute,Bijdragen
Resources,Middelen
Language,Taal
Resource type,Type bron
Age, Leeftijd
Category, Categorie
Advanced filters, Geavanceerde filters
Resource type(s),Type(s) hulpbron(nen)
Language(s),Taal/talen
Age(s), Leeftijd(en)
Connectivity, Connectiviteit
Categorie(s),Categorie(ën)
Data type(s),Gegevenstype(s)
Other keyword(s),Ander(e) trefwoord(en)
